Domain,Organization,Risk Level,Risk Score,Matched Keyword,Reasons
"leitonelectronics.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"leizhongjintanelectronic.tech","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lekarnicke-pohadky.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lekarnickepohadky.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lemony-snicket-lordfilm.ru","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lenanichi.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lenica.shop","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"leo-dentalclinic.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"leoriclinica.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lernickes.com","National Informatics Centre (NIC)","MEDIUM",25,"nic","Contains brand keyword: 'nic'"
"lesaromesbio.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbian-lovers-tube.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbian66.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbiandating.international","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbiandating.international","Punjab National Bank (PNB)","MEDIUM",25,"national","Contains brand keyword: 'national'"
"lesbiandimes.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbianfroyd.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbianhenparty.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbianlifts.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbiansdating.international","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
"lesbiansdating.international","Punjab National Bank (PNB)","MEDIUM",25,"national","Contains brand keyword: 'national'"
"lesbianslifts.com","State Bank of India (SBI)","MEDIUM",25,"sbi","Contains brand keyword: 'sbi'"
