Domain,Organization,Risk Level,Risk Score,Matched Keyword,Reasons
"sbicr0.bond","State Bank of India (SBI)","CRITICAL",100,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Typosquatting variant of sbicard.com; Contains brand keyword: 'sbi'"
"aipartel.xyz","Airtel","CRITICAL",85,"airtel","Uses suspicious TLD (.xyz); Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"airell.site","Airtel","CRITICAL",85,"airtel","Uses suspicious TLD (.site); Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"artelo.top","Airtel","CRITICAL",85,"airtel","Uses suspicious TLD (.top); Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"ashdfc.top","HDFC Bank","CRITICAL",85,"hdfc","Uses suspicious TLD (.top); Typosquatting variant of hdfc.com; Contains brand keyword: 'hdfc'"
"hdfjc.top","HDFC Bank","CRITICAL",85,"hdfc","Uses suspicious TLD (.top); Typosquatting variant of hdfc.com; Contains brand keyword: 'hdfc'"
"sbircno.bond","State Bank of India (SBI)","CRITICAL",85,"sbi","Uses suspicious TLD (.bond); Typosquatting variant of sbi.co.in; Contains brand keyword: 'sbi'"
"0gpnbe.info","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.info); Contains brand keyword: 'pnb'"
"0h61sbi.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
"12xsbi.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
"18mpnb6.sbs","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'pnb'"
"31r3zbob.bond","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'bob'"
"440clinic.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"4jsbi0.info","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.info); Contains brand keyword: 'sbi'"
"87c507pnbj.sbs","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'pnb'"
"amal-bentounsi-municipales-meaux-2026.online","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'nic'"
"anbob048.bond","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'bob'"
"astrosonic11.sbs","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'nic'"
"bnicred1tcard.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"bobf3cy1hazii.xyz","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.xyz); Contains brand keyword: 'bob'"
"clnbfehzfhq11ua42pnbum.online","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'pnb'"
"fknicx91.bond","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'nic'"
"fmsbi1o1.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
"ic0nicr1ver.online","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'nic'"
"klubnichnaya1.online","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'nic'"
"lnices0.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"manicureproapps01.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"mlsbip0.sbs","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'sbi'"
"nic1so.bond","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'nic'"
"nicetogel016.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"osbi0v.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
"pin-up-casino-sbi1.top","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.top); Contains brand keyword: 'sbi'"
"sbobet1688.club","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.club); Contains brand keyword: 'bob'"
"sbobetslot1jp.online","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'bob'"
"t0hasbi.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
"t0kisbirdu.sbs","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'sbi'"
"unicaigm1.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"unicornvpn4415.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"via4d-playnices30.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"via4d-playnices31.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"wavenic1.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"webmai1nic.online","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'nic'"
"aiotel.ru","Airtel","CRITICAL",65,"airtel","Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"aiotel.store","Airtel","CRITICAL",65,"airtel","Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"airebl.shop","Airtel","CRITICAL",65,"airtel","Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"airetel.digital","Airtel","CRITICAL",65,"airtel","Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"airtek.shop","Airtel","CRITICAL",65,"airtel","Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"artel.link","Airtel","CRITICAL",65,"airtel","Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"bioclc.com","IOCL","CRITICAL",65,"iocl","Typosquatting variant of iocl.com; Contains brand keyword: 'iocl'"
"bioclc.org","IOCL","CRITICAL",65,"iocl","Typosquatting variant of iocl.com; Contains brand keyword: 'iocl'"
"bnbindia.org","Punjab National Bank (PNB)","CRITICAL",65,"pnbindia","Typosquatting variant of pnbindia.in; Contains brand keyword: 'pnbindia'"
"ipn-india.in","Punjab National Bank (PNB)","CRITICAL",65,"pnbindia","Typosquatting variant of pnbindia.in; Contains brand keyword: 'pnbindia'"
"kartel.live","Airtel","CRITICAL",65,"airtel","Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"nct.gov.kz","National Informatics Centre (NIC)","CRITICAL",65,"gov","Typosquatting variant of nic.gov.in; Contains brand keyword: 'gov'"
"nic2go.com","National Informatics Centre (NIC)","CRITICAL",65,"nic","Typosquatting variant of nic.gov.in; Contains brand keyword: 'nic'"
"sbio.net","State Bank of India (SBI)","CRITICAL",65,"sbi","Typosquatting variant of sbi.co.in; Contains brand keyword: 'sbi'"
"clubniclusterpays.top","National Informatics Centre (NIC)","CRITICAL",60,"nic","Uses suspicious TLD (.top); Contains brand keyword: 'nic'; Contains suspicious keywords: pay"
"eventtechnicalsupport.online","National Informatics Centre (NIC)","CRITICAL",60,"nic","Uses suspicious TLD (.online); Contains brand keyword: 'nic'; Contains suspicious keywords: support"
"rogersbillpay.online","State Bank of India (SBI)","CRITICAL",60,"sbi","Uses suspicious TLD (.online); Contains brand keyword: 'sbi'; Contains suspicious keywords: pay"
"unicalstaffpensionupdate.online","National Informatics Centre (NIC)","CRITICAL",60,"nic","Uses suspicious TLD (.online); Contains brand keyword: 'nic'; Contains suspicious keywords: update"
"10bobet88.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"10h10communication.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"10sbid5.shop","State Bank of India (SBI)","HIGH",55,"sbi","Contains homoglyph characters; Contains brand keyword: 'sbi'"
"12petsbiy3pg3.shop","State Bank of India (SBI)","HIGH",55,"sbi","Contains homoglyph characters; Contains brand keyword: 'sbi'"
"1444scenicavenue.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"1883355comhdfc01.shop","HDFC Bank","HIGH",55,"hdfc","Contains homoglyph characters; Contains brand keyword: 'hdfc'"
"1883355comhdfc02.shop","HDFC Bank","HIGH",55,"hdfc","Contains homoglyph characters; Contains brand keyword: 'hdfc'"
"1961clinic.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"1964nickelerrorlist.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"2506janice.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"360aestheticsclinic.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"360bob.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"360clinicbh.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"360comunications.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"6303eunice.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"721stnick.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"a1technicalinstitute.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"a1unicornenterprises.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"abobs066.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"academytechnicalsoccerschoolpro2025.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ai360.clinic","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"almaallenvenice2026.org","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"aloeclinic1375.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"asiaplay17-nick.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"bob102.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bob178.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bob88vip07.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"boban123.pp.ua","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobandjoanna2026.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobashack208.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobato1.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobatoto011.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobatoto022.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobatoto033.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobatoto044.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobatoto055.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobby50792.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobei11.org","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobei111.org","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobet502.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobet960.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobhk70.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bobo178.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"bodamonicaycarlos2026.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"botanica2024.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"celesonic1.cam","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"clinica01.shop","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"clinica02.shop","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"clinica03.shop","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"clinicacorpoemente360.com.br","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"cocosbites518.com","State Bank of India (SBI)","HIGH",55,"sbi","Contains homoglyph characters; Contains brand keyword: 'sbi'"
"concorsofelinicomo2024.it","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"diananiceleyformayor2025.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"dominicraab2019.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"elebobby2024.org","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"elections-municipales-eguilles-2026.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"electromecanic1.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"espacodoseletronicos011gmail.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"g14comunicacaovisual.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"g14comunicacaovisual.com.br","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"gdentalclinic1.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"germanicusweg1.nl","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"giadungtienich123.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ic0nicr1ver.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"iconicfit03.store","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ikonicsuites807.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ingenico360.app","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ingenico360.business","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ingenico360.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ingenico360.digital","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ingenico360.solutions","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ingenico360.us","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"jakeandmelissasbigday2034.icu","State Bank of India (SBI)","HIGH",55,"sbi","Contains homoglyph characters; Contains brand keyword: 'sbi'"
"kapelnicza-ot-zapoya-v-volgograde017.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"kapelnicza-ot-zapoya-v-voronezhe017.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"klubnichnaya1.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"la20carniceria.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"lambobahis179.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis180.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis181.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis182.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis183.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis184.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis185.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis186.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis187.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis188.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis189.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis190.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"lambobahis191.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"laoc1533.gov.la","National Informatics Centre (NIC)","HIGH",55,"gov","Contains homoglyph characters; Contains brand keyword: 'gov'"
"latelef0nica.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"mechanicalkeyboard101.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"melnicoffi81.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"midnightmechanic81.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"moonclinic2024.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"narkologicheskaya-clinica-v-krasnoyarske017.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"narkologicheskaya-clinica-v-novokuzneczke017.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"narkologicheskaya-clinica-v-voronezhe017.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"neutronic-f3b0a1e9d7c842.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nicaragualibre301.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nice-stone-nature21.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nice186.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nice1li.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nice211.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nicelydonef1.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nicholasmurphy8512.homes","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nicki0.net","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nickieysgolden30.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nicklpayments.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains brand keyword: 'nic'; Contains suspicious keywords: pay, payment"
"nicolascouverture41.fr","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nicolsons100.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"nics5042.space","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"numata-dentalclinicsince2000.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"onic168.org","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"ourbigday-nicandpete2026.co.uk","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"phoeniciancasino1.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"qr0hg-hs4l0-nicotic.work","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"r6sbi-ruiq0-ncefrzv.work","State Bank of India (SBI)","HIGH",55,"sbi","Contains homoglyph characters; Contains brand keyword: 'sbi'"
"reunicom360.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"room17spasantamonica.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"rosslestnica1.ru","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"sanity-1762160761.clinic","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"sarahandnick1017.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"sbobet128-th.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"sbobet90.org","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"semyanich-shop-11.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"semyanich-shop-12.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"semyanich-shop-13.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"semyanich-shop-15.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"semyanich-shop-16.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"semyanich-shop-17.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"semyanich-shop-19.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"semyanich-shop-20.blog","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"setechnics145.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"seven-11sonic.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"slimakmedtronic2025.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"supersonic188.net","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"tbobet1212.com","Bank of Baroda (BoB)","HIGH",55,"bob","Contains homoglyph characters; Contains brand keyword: 'bob'"
"technic101.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"tecnica1chascomus.com.ar","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"tienichtop1.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"tienichviet360.click","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"titanic70mmfilmcels.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
"twjpnb3ud-d-89-1.com","Punjab National Bank (PNB)","HIGH",55,"pnb","Contains homoglyph characters; Contains brand keyword: 'pnb'"
"unicornbeauty1025.com","National Informatics Centre (NIC)","HIGH",55,"nic","Contains homoglyph characters; Contains brand keyword: 'nic'"
